severity,file,lines,finding,consequence,remediation
critical,src/utils.jl,12-19,prepare_data_from_y overwrites the first selected forecast column with ones in both train and adaptive blocks.,One actual ensemble member is silently discarded while the reported member count is unchanged.,The publication loader removes only explicit CSV index columns and retains every forecast column.
critical,src/algos/adaptive_linear_decision_rule.jl,12-33,The legacy history has m*tau+tau columns and fills the final tau columns with ones; the manuscript defines exactly m*tau lagged member errors.,The implemented decision rule has undocumented features and a different parameter dimension.,build_error_histories constructs exactly m*tau causal error features and exports history counts.
high,src/algos/adaptive_linear_decision_rule.jl,24-28,The normalized-history expression is evaluated but not assigned.,The err_rule_norm option has no effect.,Normalization is implemented in-place and tested.
critical,src/algos/adaptive_linear_decision_rule.jl,75-104,"The principal historical fit minimizes squared loss plus separate squared penalties on beta_t, beta0, and V0.",This is neither the paper's nonsquared norm-plus-norm robust counterpart nor the two-hyperparameter method described in the manuscript.,The new code labels and separates quadratic_stacked and exact norm_plus_norm objectives; both are reported.
high,src/main_hypertune.jl,174-199,The historical search is 5x5x5x4=500 combinations of three penalties and a window.,The paper understates both model-selection degrees of freedom and total search cost.,"Every new method uses an explicit, exported chronological validation grid; full-search runtime is benchmarked."
high,src/algos/multi_armed_bandits.jl,1-40,The method called Exp3 observes every member loss and produces a deterministic weighted forecast.,"It is a full-information Hedge-style forecaster, not a bandit-feedback Exp3 experiment.",The baseline is named Hedge and a separate Fixed Share tracker is included.
high,src/algos/multi_armed_bandits.jl,initialization,The historical expert weights are initialized using the number of observations rather than the number of members.,Weights need not sum to one and the baseline can be numerically distorted.,All expert trackers initialize to 1/m and use stable log/softmax updates.
medium,src/eval2.jl,best-model evaluation,Best Model in Hindsight is selected on the test segment and presented beside deployable methods.,It is an oracle diagnostic rather than a usable forecasting policy.,The new outputs label oracle_best_member as diagnostic_only and add validation_best_member as a deployable comparator.
high,src/metrics.jl,MAPE implementation,MAPE divides directly by y on a synthetic target that crosses zero.,Synthetic MAPE is undefined or dominated by values arbitrarily close to zero.,"Primary synthetic metrics are MAE, RMSE, exact CVaR, sMAPE, and WAPE; safe MAPE reports its valid fraction."
medium,src/metrics.jl,CVaR implementation,Empirical CVaR is formulated as a Gurobi model although the finite-sample value is an exact upper-tail average.,This adds avoidable solver cost and leaves the fractional boundary convention implicit.,"empirical_cvar implements the exact finite-sample tail mass, including fractional boundary weight."
high,src/main_hypertune.jl,212-215,energy_y_test_val.csv is headerless but is read with header inference.,"The first target can be interpreted as a column name and lost, shifting forecast/target alignment.",load_energy reads the target with header=false and verifies exact 4929/1973/2956 split counts.
high,data/energy_predictions_test_val*.csv,column identities,The stored energy forecast columns do not exactly match the ten member identities listed in the manuscript.,The source of the reported energy table is ambiguous.,Both stored member labels and manuscript labels are exported in the dataset manifest with an explicit warning.
high,src/algos/passive_agressive.jl,entire file,The historical Passive-Aggressive update has fragile dimensions and insufficient zero-denominator protection.,Very poor PA results can be an implementation or tuning artifact.,"The new PA-I predicts before updates, guards norms, and tunes C and epsilon on the same validation segment."
medium,src/algos/rls.jl,entire file,The historical RLS covariance update lacks symmetry and numerical safeguards and has no common tuning protocol.,Instability or unfair defaults can affect the dynamic-baseline comparison.,"The new RLS symmetrizes P, protects denominators, and tunes forgetting and ridge values chronologically."
high,src/main_synthetic*.jl,driver behavior,Historical synthetic defaults differ from the manuscript's 4000-point design and some driver failures are caught without failing the run.,A run can finish without producing the intended experiment or the paper's data-generating process.,The new generator is manuscript-faithful by default; task failures are collected and make the stage fail.
high,data/,hurricane matrices,The North Atlantic and Eastern Pacific ATCF/Hurricast matrices referenced by the Julia scripts are absent.,The hurricane table cannot be independently regenerated from the supplied archive.,The new loader fails explicitly and documents the required filenames/schema rather than substituting data.
high,deployment protocol,initial and event-boundary rows,The handling of insufficient error history and new-storm boundaries is not fully specified in the legacy code.,Cold-start behavior can leak prior-event outcomes or vary across implementations.,"The new causal history zero-pads unavailable slots (beta0 fallback), enforces verification delay, and supports reset/carry stress tests."
